식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
가리비류_큰가리비_육_생것_수입_3월,62,0.31,11.33,1.39,219
가리비류_큰가리비_육_생것_양양_1월,81,0.20,15.20,1.70,
"가리비류_해만가리비_양식,육_생것_대표_6월",56,2.28,9.63,0.60,508
가리비류_해만가리비_육_생것_자란도_3월,68,10.52,3.55,1.01,
가무락조개_육_생것_부산_10월,77,2.77,14.14,0.60,
가무락조개_육_생것_부산_6월,61,3.19,8.17,1.46,528
가물치_육_생것_금산_평균,100,0.90,18.27,2.09,28
가물치_육_생것_대전_평균,86,0.30,18.20,0.80,
가시망둑_육_생것_부산_8월,101,0.00,22.40,0.70,
가오리류_가오리_육_조미하여 말린것_대표_평균,340,35.80,39.30,0.60,
가오리류_나비가오리_육_생것_부산_2월,80,0.00,17.30,0.70,
가자미류_기름가자미_육_생것_대표_8월,89,0.00,17.25,1.73,
가자미류_기름가자미_육_생것_동해EEZ_2월,78,0.45,16.02,0.95,
가자미류_기름가자미_육_생것_여수_4월,89,0.59,16.23,1.96,
가자미류_기름가자미_육_생것_포항_평균(반건조),98,0.00,19.84,1.52,169
가자미류_기름가자미_육_찐것_남해_평균,123,0.00,25.21,1.80,118
가자미류_눈가자미_육_생것_강릉_6월,93,0.30,19.40,1.10,
가자미류_돌가자미_육_말린것_부산_5월,107,1.40,20.70,1.40,
가자미류_돌가자미_육_생것_인천_7월,90,0.00,20.02,0.60,
가자미류_문치가자미_육_생것_남해_4월,87,0.28,19.31,0.50,85
가자미류_문치가자미_육_생것_여수_4월,87,0.28,19.31,0.50,85
가자미류_문치가자미_육_생것_여수_6월,93,0.52,19.88,0.70,
가자미류_물가자미_육_생것_여수_4월,84,0.00,18.74,0.48,100
가자미류_범가자미_육_생것_인천_7월,82,0.80,18.20,0.20,
가자미류_용가자미_육_생것_대표_평균,86,0.15,18.90,0.65,
가리비류_가리비_육_통조림_대표_평균,119,4.40,21.60,0.30,500
가리비류_국자가리비_육_생것_대표_평균,61,1.50,10.80,0.80,450
"가리비류_비단가리비_양식,육_생것_대표_6월",64,1.61,11.23,1.06,129
가리비류_비단가리비_육_생것_충무_평균,76,1.40,14.50,1.00,
가리비류_참가리비_육_생것_대표_6월,75,1.56,12.80,1.60,
가리비류_큰가리비_관자(패주)_생것_수입_3월,82,0.06,18.15,0.57,95
가리비류_큰가리비_육_생것_대표_평균,67,0.00,12.30,0.82,371
가리비류_큰가리비_육_생것_부산_5월,88,1.53,12.87,2.90,
갈치류_칠성갈치_육_생것_포항_8월,92,0.00,17.88,1.75,134
감펭류_쑥감펭_육_생것_부산_6월,83,0.00,19.00,0.30,
감펭류_점감펭_육_생것_부산_6월,90,0.30,19.40,0.70,
감펭류_홍감펭_육_생것_대표_평균,120,0.20,16.70,3.90,
감펭류_홍감펭_육_생것_부산_5월,108,0.17,16.73,3.90,
